         1570699 function calls (1560596 primitive calls) in 1.750 seconds
   Ordered by: standard name
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:973(trigger_manager_draw)
        4    0.000    0.000    0.000    0.000 _base.py:1133(_set_title_offset_trans)
        4    0.000    0.000    0.000    0.000 _base.py:1219(get_aspect)
        2    0.000    0.000    0.000    0.000 _base.py:1222(set_aspect)
        8    0.000    0.000    0.000    0.000 _base.py:130(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:1304(set_adjustable)
        2    0.000    0.000    0.000    0.000 _base.py:1345(get_anchor)
        2    0.000    0.000    0.000    0.000 _base.py:1414(get_data_ratio)
        8    0.000    0.000    0.000    0.000 _base.py:143(set_prop_cycle)
        4    0.000    0.000    0.001    0.000 _base.py:1446(apply_aspect)
        2    0.000    0.000    0.000    0.000 _base.py:154(__call__)
       55    0.000    0.000    0.008    0.000 _base.py:1858(add_collection)
        1    0.000    0.000    0.000    0.000 _base.py:1894(add_line)
        1    0.000    0.000    0.000    0.000 _base.py:1920(_update_line_limits)
        3    0.000    0.000    0.000    0.000 _base.py:2061(update_datalim)
       25    0.000    0.000    0.001    0.000 _base.py:2097(_process_unit_info)
       50    0.000    0.000    0.001    0.000 _base.py:2100(_process_single_axis)
        7    0.000    0.000    0.000    0.000 _base.py:2185(use_sticky_edges)
        7    0.000    0.000    0.006    0.001 _base.py:2388(autoscale_view)
        1    0.000    0.000    0.000    0.000 _base.py:241(_xy_from_xy)
        7    0.000    0.000    0.000    0.000 _base.py:2415(<listcomp>)
        7    0.000    0.000    0.000    0.000 _base.py:2416(<listcomp>)
        7    0.000    0.000    0.000    0.000 _base.py:2417(<listcomp>)
       14    0.000    0.000    0.005    0.000 _base.py:2425(handle_single_axis)
       14    0.000    0.000    0.000    0.000 _base.py:2432(<listcomp>)
       14    0.000    0.000    0.000    0.000 _base.py:2434(<listcomp>)
       14    0.000    0.000    0.000    0.000 _base.py:2438(<listcomp>)
       14    0.000    0.000    0.000    0.000 _base.py:2441(<listcomp>)
       15    0.000    0.000    0.000    0.000 _base.py:2500(_get_axis_list)
        8    0.000    0.000    0.003    0.000 _base.py:2503(_update_title_position)
        4    0.000    0.000    0.000    0.000 _base.py:2708(set_axisbelow)
        8    0.000    0.000    0.018    0.002 _base.py:2744(grid)
        1    0.000    0.000    0.000    0.000 _base.py:281(_getdefaults)
        2    0.000    0.000    0.000    0.000 _base.py:289(<genexpr>)
        8    0.000    0.000    0.004    0.001 _base.py:2918(tick_params)
        1    0.000    0.000    0.000    0.000 _base.py:299(_setdefaults)
        4    0.000    0.000    0.000    0.000 _base.py:3027(set_axis_on)
        7    0.000    0.000    0.000    0.000 _base.py:3050(xaxis_inverted)
        9    0.000    0.000    0.000    0.000 _base.py:3064(get_xbound)
        1    0.000    0.000    0.000    0.000 _base.py:308(_makeline)
